work_order_id,part_number_raw,part_number_clean,customer,quantity_ordered,machine_id,operator_id_raw,operator_id_clean,shift_code,lot_id_raw,lot_id_clean,order_date,scheduled_start,actual_start,complexity,material_type,requires_welding,std_labor_hrs
WO-10101,P-1019,P-1019,Customer E,353,M05,OP007,OP007,Shift B,,LOT-1001,2023-01-11,2023-01-11 12:55:00,2023-01-11 14:24:00,Medium,16ga Steel,True,0.85
WO-10102,P-1026,P-1026,Customer D,199,M06,OP017,OP017,Shift A,LOT-1003,LOT-1003,2023-01-12,2023-01-12 06:21:00,2023-01-12 07:17:00,High,14ga Steel,False,4.66
WO-10103,P-1015,P-1015,Customer D,107,M07,OP003,OP003,Shift B,LOT-1004,LOT-1004,2023-01-12,2023-01-12 14:05:00,2023-01-12 15:03:00,Medium,"3/8"" Plate",False,3.73
WO-10104,P 1005,P-1005,Customer C,412,M07,OP020,OP020,Shift A,,LOT-1001,2023-01-12,2023-01-12 07:07:00,2023-01-12 07:15:00,Low,16ga Steel,False,3.09
WO-10105,PART-1013,P-1013,Customer D,84,M02,OP009,OP009,Shift A,LOT-1009,LOT-1009,2023-01-12,2023-01-12 05:08:00,2023-01-12 06:17:00,Low,Stainless 304,True,2.94
WO-10106,p-1016,P-1016,Customer G,131,M05,OP004,OP004,Shift A,,LOT-1006,2023-01-12,2023-01-12 06:20:00,2023-01-12 06:22:00,Low,14ga Steel,False,4.13
WO-10107,p-1011,P-1011,Customer B,272,M06,OP001,OP001,Shift B,,,2023-01-12,2023-01-12 14:31:00,2023-01-12 15:28:00,High,Aluminum 5052,True,1.39
WO-10108,P1032,P-1032,Customer F,25,M06,Carla Gray,OP020,,,,2023-01-12,2023-01-12 06:28:00,2023-01-12 07:29:00,Medium,Aluminum 5052,False,2.02
WO-10109,P-1025,P-1025,Customer C,321,M06,OP003,OP003,Shift B,LOT-1009,LOT-1009,2023-01-12,2023-01-12 14:41:00,2023-01-12 14:57:00,Medium,Stainless 304,False,4.83
WO-10110,P-1017,P-1017,Customer D,230,M01,OP011,OP011,,,,2023-01-12,2023-01-12 14:00:00,2023-01-12 15:29:00,High,Aluminum 5052,False,4.9
WO-10111,P-1007,P-1007,Customer B,58,M02,OP017,OP017,Shift A,LOT1001,LOT-1001,2023-01-12,2023-01-12 06:45:00,2023-01-12 07:25:00,Medium,16ga Steel,True,0.78
WO-10112,P-1016,P-1016,Customer G,231,M05,OP006,OP006,,LOT-1003,LOT-1003,2023-01-12,2023-01-12 14:06:00,2023-01-12 14:53:00,Low,14ga Steel,False,4.13
WO-10113,P-1008,P-1008,Customer G,350,M05,OP020,OP020,Shift A,LOT-1004,LOT-1004,2023-01-12,2023-01-12 05:32:00,2023-01-12 06:26:00,Low,"3/8"" Plate",False,1.97
WO-10114,P1003,P-1003,Customer D,124,M04,OP016,OP016,Shift B,,LOT-1002,2023-01-12,2023-01-12 13:25:00,2023-01-12 14:09:00,Medium,"1/4"" Plate",False,4.63
WO-10115,PART-1023,P-1023,Customer F,434,M02,OP013,OP013,Shift A,LOT-1000,LOT-1000,2023-01-12,2023-01-12 06:35:00,2023-01-12 06:38:00,Medium,12ga Steel,True,2.76
WO-10116,P1017,P-1017,Customer D,45,M01,OP010,OP010,Shift B,LOT-1005,LOT-1005,2023-01-13,2023-01-13 13:15:00,2023-01-13 14:36:00,High,Aluminum 5052,False,4.9
WO-10117,P1001,P-1001,Customer A,407,M07,OP019,OP019,Shift A,LOT1001,LOT-1001,2023-01-13,2023-01-13 06:03:00,2023-01-13 07:19:00,Medium,16ga Steel,True,1.02
WO-10118,P-1005,P-1005,Customer C,227,M07,OP005,OP005,Shift A,LOT1001,LOT-1001,2023-01-13,2023-01-13 05:21:00,2023-01-13 06:17:00,Low,16ga Steel,False,3.09
WO-10119,P-1026,P-1026,Customer D,357,M06,OP007,OP007,Shift B,,LOT-1006,2023-01-13,2023-01-13 14:00:00,2023-01-13 15:07:00,High,14ga Steel,False,4.66
WO-10120,p-1019,P-1019,Customer E,401,M06,OP009,OP009,Shift A,,LOT-1001,2023-01-13,2023-01-13 06:32:00,2023-01-13 07:13:00,Medium,16ga Steel,True,0.85
WO-10121,P1007,P-1007,Customer B,352,M02,OP018,OP018,Shift A,LOT1001,LOT-1001,2023-01-13,2023-01-13 06:23:00,2023-01-13 06:32:00,Medium,16ga Steel,True,0.78
WO-10122,P-1025,P-1025,Customer C,217,M06,Holly Wood,OP017,Shift A,LOT-1009,LOT-1009,2023-01-13,2023-01-13 06:43:00,2023-01-13 07:36:00,Medium,Stainless 304,False,4.83
WO-10123,P1018,P-1018,Customer H,195,M06,OP017,OP017,,LOT1001,LOT-1001,2023-01-13,2023-01-13 07:40:00,2023-01-13 07:53:00,High,16ga Steel,True,2.78
WO-10124,p-1025,P-1025,Customer C,49,M06,OP017,OP017,Shift A,LOT-1009,LOT-1009,2023-01-16,2023-01-16 06:07:00,2023-01-16 06:21:00,Medium,Stainless 304,False,4.83
WO-10125,P-1033,P-1033,Customer F,141,M04,OP015,OP015,Shift A,LOT-1007,LOT-1007,2023-01-16,2023-01-16 04:58:00,2023-01-16 06:15:00,Medium,Stainless 304,True,4.52
WO-10126,P1009,P-1009,Customer A,306,M05,OP005,OP005,Shift A,LOT-1000,LOT-1000,2023-01-16,2023-01-16 06:36:00,2023-01-16 07:48:00,Medium,12ga Steel,False,4.93
WO-10127,P-1020,P-1020,Customer A,38,M06,OP006,OP006,Shift B,LOT-1005,LOT-1005,2023-01-16,2023-01-16 15:41:00,2023-01-16 15:50:00,Low,Aluminum 5052,False,3.38
WO-10128,P1019,P-1019,Customer E,206,M06,OP012,OP012,Shift B,LOT1001,LOT-1001,2023-01-16,2023-01-16 13:29:00,2023-01-16 14:39:00,Medium,16ga Steel,True,0.85
WO-10129,P-1002,P-1002,Customer E,41,M01,OP016,OP016,Shift B,LOT-1005,LOT-1005,2023-01-16,2023-01-16 14:49:00,2023-01-16 15:32:00,Medium,Aluminum 5052,False,4.78
WO-10130,P-1005,P-1005,Customer C,91,M07,OP002,OP002,Shift A,LOT1001,LOT-1001,2023-01-16,2023-01-16 06:57:00,2023-01-16 07:33:00,Low,16ga Steel,False,3.09
WO-10131,P-1024,P-1024,Customer E,295,M01,OP010,OP010,Shift B,,LOT-1001,2023-01-16,2023-01-16 14:28:00,2023-01-16 15:04:00,Low,16ga Steel,False,3.13
WO-10132,P 1016,P-1016,Customer G,367,M05,OP015,OP015,Shift A,LOT-1006,LOT-1006,2023-01-16,2023-01-16 07:03:00,2023-01-16 07:19:00,Low,14ga Steel,False,4.13
WO-10133,P1005,P-1005,Customer C,494,M07,OP014,OP014,Shift B,LOT1001,LOT-1001,2023-01-16,2023-01-16 13:15:00,2023-01-16 14:42:00,Low,16ga Steel,False,3.09
WO-10134,PART-1033,P-1033,Customer F,258,M04,Holly Wood,OP017,Shift A,LOT-1009,LOT-1009,2023-01-16,2023-01-16 06:04:00,2023-01-16 06:21:00,Medium,Stainless 304,True,4.52
WO-10135,P-1009,P-1009,Customer A,402,M05,OP013,OP013,Shift A,,LOT-1000,2023-01-16,2023-01-16 05:26:00,2023-01-16 06:42:00,Medium,12ga Steel,False,4.93
WO-10136,P-1024,P-1024,Customer E,220,M01,OP005,OP005,Shift A,LOT1001,LOT-1001,2023-01-16,2023-01-16 06:16:00,2023-01-16 06:46:00,Low,16ga Steel,False,3.13
WO-10137,p-1028,P-1028,Customer B,198,M06,OP012,OP012,Shift B,LOT1001,LOT-1001,2023-01-16,2023-01-16 14:44:00,2023-01-16 15:57:00,Low,16ga Steel,False,3.53
WO-10138,p-1028,P-1028,Customer B,420,M06,OP008,OP008,Shift B,LOT1001,LOT-1001,2023-01-16,2023-01-16 14:38:00,2023-01-16 15:10:00,Low,16ga Steel,False,3.53
WO-10139,P-1030,P-1030,Customer G,92,M01,OP014,OP014,Shift B,LOT-1000,LOT-1000,2023-01-17,2023-01-17 13:13:00,2023-01-17 14:18:00,Medium,12ga Steel,True,2.15
WO-10140,P-1009,P-1009,Customer A,23,M05,OP003,OP003,Shift B,LOT-1000,LOT-1000,2023-01-17,2023-01-17 15:06:00,2023-01-17 15:56:00,Medium,12ga Steel,False,4.93
WO-10141,P-1032,P-1032,Customer F,60,M06,OP007,OP007,Shift B,,LOT-1005,2023-01-17,2023-01-17 12:38:00,2023-01-17 14:01:00,Medium,Aluminum 5052,False,2.02
WO-10142,p-1021,P-1021,Customer C,398,M03,Cristian Santos,OP005,Shift A,LOT-1006,LOT-1006,2023-01-17,2023-01-17 06:47:00,2023-01-17 07:44:00,High,14ga Steel,False,4.75
WO-10143,p-1000,P-1000,Customer B,131,M03,OP002,OP002,Shift A,LOT-1009,LOT-1009,2023-01-17,2023-01-17 07:01:00,2023-01-17 07:07:00,Low,Stainless 304,True,2.03
WO-10144,P-1015,P-1015,Customer D,333,M07,OP016,OP016,Shift B,,LOT-1004,2023-01-17,2023-01-17 15:08:00,2023-01-17 15:38:00,Medium,"3/8"" Plate",False,3.73
WO-10145,P 1018,P-1018,Customer H,44,M07,OP001,OP001,Shift B,LOT1001,LOT-1001,2023-01-18,2023-01-18 13:24:00,2023-01-18 14:33:00,High,16ga Steel,True,2.78
WO-10146,P-1032,P-1032,Customer F,18,M06,OP017,OP017,Shift A,,LOT-1005,2023-01-18,2023-01-18 07:15:00,2023-01-18 07:23:00,Medium,Aluminum 5052,False,2.02
WO-10147,P-1022,P-1022,Customer G,289,M03,OP004,OP004,Shift A,LOT-1009,LOT-1009,2023-01-18,2023-01-18 05:46:00,2023-01-18 07:08:00,Medium,Stainless 304,False,1.03
WO-10148,P-1011,P-1011,Customer B,32,M05,OP012,OP012,Shift B,,LOT-1005,2023-01-18,2023-01-18 14:57:00,2023-01-18 15:02:00,High,Aluminum 5052,True,1.39
WO-10149,P-1020,P-1020,Customer A,341,M06,OP014,OP014,Shift B,LOT-1005,LOT-1005,2023-01-18,2023-01-18 14:31:00,2023-01-18 15:16:00,Low,Aluminum 5052,False,3.38
WO-10150,P-1003,P-1003,Customer D,499,M04,OP008,OP008,Shift B,LOT-1002,LOT-1002,2023-01-18,2023-01-18 15:24:00,2023-01-18 15:47:00,Medium,"1/4"" Plate",False,4.63
WO-10151,P-1031,P-1031,Customer B,431,M05,OP010,OP010,Shift B,LOT-1002,LOT-1002,2023-01-18,2023-01-18 14:28:00,2023-01-18 15:05:00,Medium,"1/4"" Plate",True,3.44
WO-10152,P1020,P-1020,Customer A,95,M06,OP004,OP004,Shift A,LOT-1005,LOT-1005,2023-01-18,2023-01-18 06:54:00,2023-01-18 07:38:00,Low,Aluminum 5052,False,3.38
WO-10153,P1002,P-1002,Customer E,217,M01,OP016,OP016,Shift B,LOT-1005,LOT-1005,2023-01-19,2023-01-19 12:38:00,2023-01-19 14:04:00,Medium,Aluminum 5052,False,4.78
WO-10154,P-1010,P-1010,Customer A,340,M03,OP005,OP005,Shift A,LOT-1007,LOT-1007,2023-01-19,2023-01-19 05:15:00,2023-01-19 06:04:00,Low,Stainless 304,True,4.08
WO-10155,P-1002,P-1002,Customer E,197,M01,OP018,OP018,Shift A,LOT-1005,LOT-1005,2023-01-19,2023-01-19 05:13:00,2023-01-19 06:36:00,Medium,Aluminum 5052,False,4.78
WO-10156,P1017,P-1017,Customer D,144,M01,Daniel Wagner,OP004,Shift A,LOT-1005,LOT-1005,2023-01-19,2023-01-19 06:28:00,2023-01-19 07:58:00,High,Aluminum 5052,False,4.9
WO-10157,P-1028,P-1028,Customer B,446,M06,OP020,OP020,,LOT1001,LOT-1001,2023-01-19,2023-01-19 06:50:00,2023-01-19 07:12:00,Low,16ga Steel,False,3.53
WO-10158,P-1028,P-1028,Customer B,90,M06,OP015,OP015,Shift A,LOT1001,LOT-1001,2023-01-19,2023-01-19 06:28:00,2023-01-19 07:57:00,Low,16ga Steel,False,3.53
WO-10159,P-1011,P-1011,Customer B,194,M05,OP014,OP014,Shift B,LOT-1005,LOT-1005,2023-01-19,2023-01-19 14:03:00,2023-01-19 14:50:00,High,Aluminum 5052,True,1.39
WO-10160,P-1029,P-1029,Customer B,219,M04,OP020,OP020,Shift A,LOT-1014,LOT-1014,2023-01-19,2023-01-19 07:24:00,2023-01-19 07:33:00,Low,"1/4"" Plate",True,3.64
WO-10161,PART-1008,P-1008,Customer G,409,M05,OP003,OP003,Shift B,LOT1010,LOT-1010,2023-01-19,2023-01-19 13:53:00,2023-01-19 15:08:00,Low,"3/8"" Plate",False,1.97
WO-10162,P-1011,P-1011,Customer B,175,M05,OP017,OP017,Shift A,LOT-1005,LOT-1005,2023-01-19,2023-01-19 05:51:00,2023-01-19 06:19:00,High,Aluminum 5052,True,1.39
WO-10163,P1022,P-1022,Customer G,324,M03,OP003,OP003,Shift B,LOT-1007,LOT-1007,2023-01-19,2023-01-19 14:04:00,2023-01-19 15:08:00,Medium,Stainless 304,False,1.03
WO-10164,PART-1010,P-1010,Customer A,51,M03,OP005,OP005,,LOT-1007,LOT-1007,2023-01-19,2023-01-19 05:30:00,2023-01-19 06:52:00,Low,Stainless 304,True,4.08
WO-10165,P1016,P-1016,Customer G,158,M05,OP020,OP020,Shift A,LOT-1003,LOT-1003,2023-01-19,2023-01-19 07:18:00,2023-01-19 07:56:00,Low,14ga Steel,False,4.13
WO-10166,P-1015,P-1015,Customer D,247,M07,OP008,OP008,Shift B,LOT-1004,LOT-1004,2023-01-20,2023-01-20 13:11:00,2023-01-20 14:28:00,Medium,"3/8"" Plate",False,3.73
WO-10167,p-1009,P-1009,Customer A,273,M05,OP010,OP010,Shift B,LOT-1000,LOT-1000,2023-01-20,2023-01-20 14:28:00,2023-01-20 15:08:00,Medium,12ga Steel,False,4.93
WO-10168,P-1015,P-1015,Customer D,206,M07,OP003,OP003,Shift B,LOT-1008,LOT-1008,2023-01-20,2023-01-20 13:10:00,2023-01-20 14:03:00,Medium,"3/8"" Plate",False,3.73
WO-10169,P-1015,P-1015,Customer D,273,M07,OP015,OP015,Shift A,LOT-1004,LOT-1004,2023-01-20,2023-01-20 06:09:00,2023-01-20 06:48:00,Medium,"3/8"" Plate",False,3.73
WO-10170,P-1031,P-1031,Customer B,35,M05,OP004,OP004,Shift A,LOT-1014,LOT-1014,2023-01-20,2023-01-20 05:21:00,2023-01-20 06:37:00,Medium,"1/4"" Plate",True,3.44
WO-10171,P-1030,P-1030,Customer G,36,M05,OP014,OP014,Shift B,LOT-1000,LOT-1000,2023-01-20,2023-01-20 14:59:00,2023-01-20 15:23:00,Medium,12ga Steel,True,2.15
WO-10172,P 1023,P-1023,Customer F,211,M02,OP003,OP003,Shift B,LOT-1012,LOT-1012,2023-01-20,2023-01-20 13:25:00,2023-01-20 14:08:00,Medium,12ga Steel,True,2.76
WO-10173,P1023,P-1023,Customer F,421,M02,OP009,OP009,Shift A,,LOT-1012,2023-01-20,2023-01-20 05:10:00,2023-01-20 06:08:00,Medium,12ga Steel,True,2.76
WO-10174,P1009,P-1009,Customer A,163,M05,OP015,OP015,Shift A,LOT-1012,LOT-1012,2023-01-20,2023-01-20 06:35:00,2023-01-20 07:39:00,Medium,12ga Steel,False,4.93
WO-10175,P1032,P-1032,Customer F,223,M06,OP016,OP016,Shift B,LOT-1005,LOT-1005,2023-01-20,2023-01-20 13:53:00,2023-01-20 15:21:00,Medium,Aluminum 5052,False,2.02
WO-10176,P-1001,P-1001,Customer A,255,M07,OP008,OP008,Shift B,LOT1013,LOT-1013,2023-01-20,2023-01-20 13:26:00,2023-01-20 14:46:00,Medium,16ga Steel,True,1.02
WO-10177,P-1024,P-1024,Customer E,170,M01,Gabrielle Davis,OP009,Shift A,LOT1013,LOT-1013,2023-01-20,2023-01-20 05:20:00,2023-01-20 06:12:00,Low,16ga Steel,False,3.13
WO-10178,P-1013,P-1013,Customer D,116,M02,OP014,OP014,Shift B,LOT-1007,LOT-1007,2023-01-20,2023-01-20 13:21:00,2023-01-20 14:45:00,Low,Stainless 304,True,2.94
WO-10179,p-1020,P-1020,Customer A,379,M06,OP018,OP018,Shift A,LOT-1005,LOT-1005,2023-01-23,2023-01-23 06:15:00,2023-01-23 07:43:00,Low,Aluminum 5052,False,3.38
WO-10180,PART-1016,P-1016,Customer G,162,M05,OP007,OP007,Shift B,LOT-1003,LOT-1003,2023-01-23,2023-01-23 13:44:00,2023-01-23 15:14:00,Low,14ga Steel,False,4.13
WO-10181,P-1013,P-1013,Customer D,356,M02,OP010,OP010,Shift B,LOT-1007,LOT-1007,2023-01-23,2023-01-23 14:28:00,2023-01-23 15:18:00,Low,Stainless 304,True,2.94
WO-10182,PART-1022,P-1022,Customer G,345,M03,Lisa Hensley,OP013,Shift A,LOT-1009,LOT-1009,2023-01-23,2023-01-23 05:21:00,2023-01-23 06:22:00,Medium,Stainless 304,False,1.03
WO-10183,P1013,P-1013,Customer D,132,M02,OP019,OP019,Shift A,LOT-1007,LOT-1007,2023-01-23,2023-01-23 05:14:00,2023-01-23 06:39:00,Low,Stainless 304,True,2.94
WO-10184,P 1033,P-1033,Customer F,485,M06,OP009,OP009,Shift A,LOT-1009,LOT-1009,2023-01-23,2023-01-23 04:37:00,2023-01-23 06:00:00,Medium,Stainless 304,True,4.52
WO-10185,p-1030,P-1030,Customer G,343,M01,OP007,OP007,Shift B,LOT-1000,LOT-1000,2023-01-23,2023-01-23 13:50:00,2023-01-23 14:58:00,Medium,12ga Steel,True,2.15
WO-10186,P-1002,P-1002,Customer E,263,M01,OP017,OP017,Shift A,LOT-1005,LOT-1005,2023-01-23,2023-01-23 06:16:00,2023-01-23 06:53:00,Medium,Aluminum 5052,False,4.78
WO-10187,P-1002,P-1002,Customer E,338,M01,OP013,OP013,Shift A,,LOT-1005,2023-01-23,2023-01-23 06:15:00,2023-01-23 07:18:00,Medium,Aluminum 5052,False,4.78
WO-10188,P-1008,P-1008,Customer G,141,M05,OP008,OP008,Shift B,,LOT-1008,2023-01-23,2023-01-23 14:45:00,2023-01-23 14:46:00,Low,"3/8"" Plate",False,1.97
WO-10189,P-1021,P-1021,Customer C,177,M03,OP016,OP016,,LOT-1006,LOT-1006,2023-01-23,2023-01-23 14:27:00,2023-01-23 15:52:00,High,14ga Steel,False,4.75
WO-10190,P-1006,P-1006,Customer B,238,M02,OP005,OP005,Shift A,LOT-1014,LOT-1014,2023-01-23,2023-01-23 05:34:00,2023-01-23 06:16:00,Medium,"1/4"" Plate",False,2.57
WO-10191,P-1000,P-1000,Customer B,267,M03,OP010,OP010,Shift B,,LOT-1009,2023-01-24,2023-01-24 13:40:00,2023-01-24 15:10:00,Low,Stainless 304,True,2.03
WO-10192,P-1019,P-1019,Customer E,320,M06,OP013,OP013,Shift A,LOT1013,LOT-1013,2023-01-24,2023-01-24 05:40:00,2023-01-24 07:09:00,Medium,16ga Steel,True,0.85
WO-10193,P1030,P-1030,Customer G,49,M01,OP009,OP009,Shift A,LOT-1000,LOT-1000,2023-01-24,2023-01-24 07:19:00,2023-01-24 07:33:00,Medium,12ga Steel,True,2.15
WO-10194,P1003,P-1003,Customer D,377,M04,OP020,OP020,Shift A,LOT-1014,LOT-1014,2023-01-24,2023-01-24 06:56:00,2023-01-24 07:07:00,Medium,"1/4"" Plate",False,4.63
WO-10195,P-1032,P-1032,Customer F,246,M06,OP001,OP001,Shift B,LOT-1005,LOT-1005,2023-01-24,2023-01-24 14:57:00,2023-01-24 15:36:00,Medium,Aluminum 5052,False,2.02
WO-10196,P-1001,P-1001,Customer A,42,M07,OP008,OP008,Shift B,LOT1001,LOT-1001,2023-01-24,2023-01-24 14:20:00,2023-01-24 14:27:00,Medium,16ga Steel,True,1.02
WO-10197,P 1004,P-1004,Customer D,205,M06,OP001,OP001,Shift B,,LOT-1010,2023-01-24,2023-01-24 14:35:00,2023-01-24 15:23:00,Medium,"3/8"" Plate",True,4.61
WO-10198,P 1024,P-1024,Customer E,211,M01,OP019,OP019,Shift A,LOT-1018,LOT-1018,2023-01-24,2023-01-24 05:43:00,2023-01-24 06:11:00,Low,16ga Steel,False,3.13
WO-10199,P-1000,P-1000,Customer B,245,M03,OP013,OP013,Shift A,LOT-1007,LOT-1007,2023-01-24,2023-01-24 07:17:00,2023-01-24 07:52:00,Low,Stainless 304,True,2.03
